size,S470,S471,S472,S473,S474R,S474,S475,S476,S477,S478,S479R,S479,S479B,S480,S481,S482,S483,S484,S484B,S678,S1221,TD,TD2,478O1,478O2,478O3,478Oave
0.0995,0,0,0,0,0,0.455741878,0,0,0,0,0.175891617,0.094378912,0.08535637,0.26560353,0,0.17559542,0,0,0,0,0,0,0,0,0,0,0
0.113,0,0,0,0,0,0.666228423,0,0,0,0,0.413327961,0.226328935,0.175675272,0.55043218,0,0.417790099,0,0.003688504,0,0,0,0,0,0,0,0,0
0.128,0.085807973,0,0,0,0,0.897636057,0,0,0,0,0.703746061,0.409144489,0.308784641,0.854055681,0,0.718638237,0,0.104825221,0,0,0,0,0,0,0,0,0
0.146,0.311948437,0,0.039676614,0,0,1.167806898,0,0,0,0,1.050209977,0.660251517,0.510229743,1.230471812,0.03027095,1.080372607,0,0.350294079,0.041015394,0,0,0,0,0,0,0,0
0.166,0.649079315,0,0.134992328,0.004544107,0,1.451814497,0,0,0,0,1.428895022,0.97373451,0.781906624,1.654758985,0.135574015,1.480972011,0,0.708472182,0.183986201,0,0,0,0,0,0,0,0
0.188,1.031503034,0,0.281942157,0.15156982,0.165377715,1.737850304,0,0.000826305,0,0,1.836721725,1.352171459,1.129855468,2.113147746,0.313113053,1.920885764,0.027198752,1.108209642,0.44636767,0,0,0,0,0,0,0,0
0.214,1.486448153,0,0.475602735,0.426153877,0.480717901,2.060677336,0,0.095998822,0,0,2.303844186,1.813210417,1.57480438,2.637400037,0.689877867,2.43208389,0.114843405,1.56900889,0.824761997,0,0,0,0,0,0,0,0
0.243,2.030903271,0,0.685827723,0.749523763,0.843744867,2.427706033,0.019498593,0.319360903,0,0,2.803949759,2.3144797,2.078279833,3.202115606,1.35902565,2.982662524,0.275484819,2.098687272,1.246408225,0.047607755,0,0,0,0,0,0,0
0.276,2.685498648,0,0.931466916,1.12833554,1.261643171,2.852229913,0.072150507,0.652376965,0,0,3.349274545,2.871103035,2.648567149,3.821338205,2.238396491,3.586547398,0.48953322,2.715787199,1.725839847,0.216591588,0,0,0,0,0,0,0
0.314,3.462711373,0,1.243909228,1.577018725,1.753136585,3.342636305,0.172439638,1.032657234,0,0,3.950993601,3.501601405,3.288949844,4.506863377,3.100395186,4.257049883,0.704142161,3.432573939,2.288690385,0.506616605,0,0,0,0,0,0,0
0.357,4.366172953,0,1.586595638,2.100027098,2.324223387,3.880772572,0.36214945,1.446640094,0.021218223,0.060950272,4.604586062,4.196120736,3.989017338,5.251628103,3.734052938,4.987502194,0.884455739,4.245856326,2.936493244,0.886622062,0,0,0,0,0,0,0
0.405,5.40358552,0.034310472,1.9019139,2.69915792,2.976403201,4.446234241,0.672024498,1.93733855,0.122955964,0.323448191,5.304919745,4.933364226,4.739605896,6.046822475,4.130511396,5.768053254,1.053626243,5.154612856,3.660866011,1.306750455,0,0.041699241,0.040562946,0,0,0,0
0.46,6.602632585,0.143577779,2.252922649,3.392482236,3.731295258,5.064442088,1.070969602,2.5100075,0.289122074,0.66456654,6.069710087,5.723580909,5.54728538,6.908722671,4.484300639,6.615000332,1.277451069,6.187178415,4.489330551,1.80976137,0,0.23521966,0.219430434,0.21,0.21,0.21,0.21
0.523,7.973506067,0.338638273,2.675284835,4.185515643,4.595382739,5.739896982,1.550623919,3.167016802,0.523921707,1.052079445,6.900340766,6.558961763,6.404589995,7.836156553,4.861795145,7.527580466,1.588554912,7.349465591,5.428131732,2.418849437,0,0.579730168,0.538174892,0.75,0.75,0.74,0.746666667
0.594,9.502132528,0.612167826,3.188207639,5.067057419,5.555782779,6.460115775,2.107608696,3.905588633,0.834156925,1.501440381,7.785946582,7.416638248,7.293107982,8.815245391,5.265279595,8.492406525,1.996672146,8.622570543,6.459292014,3.134372093,0,1.013639941,0.944870963,1.67,1.67,1.65,1.663333333
0.675,11.21112826,0.957541867,3.829759924,6.051759798,6.627412925,7.237414235,2.754029977,4.744577578,1.230644895,2.041683202,8.742399907,8.298979336,8.220902628,9.86041414,5.725805836,9.522615961,2.514283407,10.02120885,7.592894917,3.974010354,0.013086726,1.482841599,1.396049267,2.94,2.94,2.91,2.93
0.767,13.10164637,1.380628995,4.622988681,7.157878795,7.828752044,8.090007228,3.506805676,5.697356615,1.713329849,2.674648972,9.775088915,9.205079316,9.188058088,10.97029598,6.307784221,10.61257044,3.131745456,11.55310518,8.841604986,4.94964396,0.079408032,2.047465498,1.950394114,4.41,4.41,4.37,4.396666667
0.872,15.19453839,1.877402304,5.585924696,8.392515579,9.161885046,9.026790395,4.384014015,6.771037117,2.28249369,3.410172333,10.89589941,10.15220778,10.21582495,12.15714318,7.091310548,11.77613338,3.859379505,13.23180038,10.21677335,6.082398637,0.206865944,2.734896358,2.633397153,5.95,5.94,5.88,5.923333333
0.991,17.48355883,2.435434181,6.717484018,9.737996317,10.60177787,10.03767595,5.390042322,7.954619968,2.936840104,4.254910523,12.10171062,11.15097819,11.31766137,13.42035348,8.121853146,13.01647563,4.702981471,15.04697168,11.70658937,7.380466674,0.401602681,3.543674121,3.443640162,7.43,7.43,7.36,7.406666667
1.13,20.04131867,3.074169794,8.053196683,11.23172145,12.1857735,11.15718617,6.569846338,9.287077017,3.712508527,5.252478417,13.43656908,12.2551559,12.55002183,14.80770101,9.432856489,14.38113459,5.687764481,17.06042713,13.35882117,8.903100395,0.684272136,4.528684565,4.43749612,8.86,8.85,8.77,8.826666667
1.28,22.65266141,3.740952896,9.461768711,12.7443387,13.7762409,12.30026178,7.833591825,10.65904059,4.561362347,6.335978866,14.80315994,13.41565965,13.8474519,16.22371676,10.86752757,15.77638769,6.716987144,19.11499776,15.04083355,10.53586562,1.038507243,5.640083795,5.565130006,10.28,10.27,10.19,10.24666667
1.45,25.39392567,4.463970765,10.98302423,14.3377005,15.43868035,13.5166175,9.232120041,12.13084311,5.524198196,7.557996529,16.25878654,14.70218161,15.27352861,17.72966891,12.43579098,17.26338792,7.822325544,21.27690064,16.81778605,12.34096253,1.466830961,6.937185635,6.886982969,11.8,11.79,11.69,11.76
1.65,28.31492979,5.268870547,12.65734175,16.06403589,17.22493089,14.84581907,10.8151882,13.75537219,6.642989389,8.974397864,17.8459518,16.17032304,16.87677576,19.37072935,14.15734362,18.88802733,9.03382702,23.59172149,18.73731085,14.37690674,1.97311113,8.484461501,8.469025576,13.48,13.47,13.36,13.43666667
1.88,31.3370193,6.135638715,14.43653114,17.88309576,19.08703841,16.25936887,12.55429661,15.49351799,7.907587135,10.57435947,19.52791446,17.79984064,18.6303063,21.11688568,15.96637356,20.62095861,10.31198209,26.01452908,20.74638082,16.60349425,2.544631641,10.27559225,10.30271027,15.37,15.35,15.23,15.31666667
2.13,34.30489002,7.010263413,16.20682901,19.7017486,20.92447115,17.68519814,14.35079763,17.24383608,9.252763421,12.27951898,21.21645754,19.50192788,20.44126517,22.8892301,17.72609475,22.38307442,11.56877204,28.44294212,22.73183503,18.89182332,3.137673562,12.21827763,12.28876873,17.46,17.43,17.29,17.39333333
2.42,37.36873606,7.949367454,18.08044375,21.6542545,22.86686653,19.2280572,16.32807514,19.12997144,10.77834601,14.22055543,23.03576308,21.37702876,22.43285951,24.81902165,19.54969741,24.30718621,12.87781261,30.99383203,24.83142788,21.39889771,3.782286856,14.46889459,14.58727825,19.72,19.69,19.53,19.64666667
2.75,40.40858146,8.937838993,20.03064734,23.71886388,24.88806809,20.86853996,18.45868776,21.13060004,12.47110994,16.38257027,24.96167855,23.36317235,24.56844004,26.87866921,21.41942589,26.36958463,14.20625798,33.55339652,27.0021853,24.08897346,4.458847016,17.02319113,17.19262807,22.14,22.11,21.92,22.05666667
3.12,43.40467979,9.960615276,22.04629228,25.87159851,26.96771232,22.58148319,20.70854519,23.21640704,14.30542508,18.73071717,26.95633858,25.39166867,26.80268337,29.03847205,23.3089644,28.54061338,15.51894985,36.11742661,29.17834365,26.91224948,5.143883721,19.83305759,20.04265379,24.7,24.67,24.45,24.60666667
3.55,46.4257336,11.04858543,24.20756783,28.18870454,29.1743017,24.42354077,23.15126741,25.45581859,16.34725015,21.35112124,29.07412279,27.50472399,29.18559398,31.35862496,25.28366785,30.88138705,16.84495554,38.75657859,31.39412447,29.94617729,5.848648856,22.98284433,23.21429939,27.42,27.38,27.13,27.31
4.03,49.29062468,12.15076383,26.44302978,30.5781054,31.41244012,26.31635415,25.67685004,27.75227782,18.50748218,24.13352773,31.20877132,29.59150052,31.57118922,33.71276268,27.27732906,33.26433967,18.12117356,41.32103443,33.5133328,33.0298599,6.531119851,26.29779745,26.52471357,30.29,30.24,29.96,30.16333333
4.58,52.0327452,13.29730478,28.84476096,33.12439366,33.7599564,28.32181731,28.36076327,30.18216158,20.84328958,27.14994187,33.4040284,31.70253342,33.99841656,36.14538291,29.36874499,35.73655201,19.38387759,43.83279877,35.56052131,36.22644863,7.206085944,29.78117064,29.972616,33.32,33.26,32.95,33.17666667
5.21,54.63086002,14.50750973,31.45653108,35.88622915,36.28192568,30.48589374,31.27092142,32.80954946,23.39452583,30.43539366,35.67032705,33.87702573,36.53499553,38.69325239,31.56958682,38.34508157,20.63910279,46.23571932,37.53767698,39.5881985,7.897612835,33.34362766,33.47132956,36.51,36.44,36.1,36.35
